food_name,production_name,check_num,qualified_num,unqualified_num,production_address,food_product_time,food_model,check_flag,sampling_name,sampling_province,check_projiect
生命源优质纯净水,阜阳市生命源多氧活性水有限公司,5,0,5,阜阳市颍州区阜临路河水铺,2016-08-08,16L/桶,不合格,阜阳市生命源多氧活性水有限公司,,
生命源优质纯净水,阜阳市生命源多氧活性水有限公司,5,0,5,阜阳市颍州区阜临路河水铺,2016-08-06,16L/桶,不合格,阜阳市生命源多氧活性水有限公司,,
生命源优质纯净水,阜阳市生命源多氧活性水有限公司,5,0,5,阜阳市颍州区阜临路河水铺,2016-08-04,16L/桶,不合格,阜阳市生命源多氧活性水有限公司,,
生命源优质纯净水,阜阳市生命源多氧活性水有限公司,5,0,5,阜阳市颍州区阜临路河水铺,2016-08-03,16L/桶,不合格,阜阳市生命源多氧活性水有限公司,,
生命源优质纯净水,阜阳市生命源多氧活性水有限公司,5,0,5,阜阳市颍州区阜临路河水铺,2016-08-01,16L/桶,不合格,阜阳市生命源多氧活性水有限公司,,
饮用纯净水,深圳市伟志水处理技术有限公司,5,0,5,深圳市宝安区沙井街道马安山第二工业区35栋一楼,2016-10-24,18.9L/桶,不合格,深圳市伟志水处理技术有限公司,,
饮用纯净水,深圳市伟志水处理技术有限公司,5,0,5,深圳市宝安区沙井街道马安山第二工业区35栋一楼,2016-10-23,18.9L/桶,不合格,深圳市伟志水处理技术有限公司,,
饮用纯净水,深圳市伟志水处理技术有限公司,5,0,5,深圳市宝安区沙井街道马安山第二工业区35栋一楼,2016-10-22,18.9L/桶,不合格,深圳市伟志水处理技术有限公司,,
饮用纯净水,深圳市伟志水处理技术有限公司,5,0,5,深圳市宝安区沙井街道马安山第二工业区35栋一楼,2016-10-21,18.9L/桶,不合格,深圳市伟志水处理技术有限公司,,
饮用纯净水,深圳市伟志水处理技术有限公司,5,0,5,深圳市宝安区沙井街道马安山第二工业区35栋一楼,2016-10-18,18.9L/桶,不合格,深圳市伟志水处理技术有限公司,,
